cell_type,HPD1_pre,HPD1_post,HPD2_pre,HPD2_post,HPD3_post,HPD3_pre,HPD4_pre,HPD4_post,HPD5_pre,HPD5_post,HPD6_pre,HPD6_post
T cell CD4+ effector memory_XCELL,0,0,0,0,0,4.45430577423039e-18,0,0.0468852586696379,0,0,0.0226237138538202,0.00050441480486599
T cell CD8+ naive_XCELL,0,0,0,1.72474304527311e-18,0.0054266086513844,0,0,0,1.03457548188938e-18,0,0,0.000350686881145569
T cell CD8+_XCELL,0,2.94416456714906e-18,0,0,0.0107880302173394,0,0,2.41413104640727e-18,0,1.30454580767698e-17,0,2.78934025716642e-18
T cell CD8+ central memory_XCELL,5.70304114024876e-18,0,8.76191495139528e-18,7.88554563050175e-19,0,3.17660471680349e-18,0,0,8.60721438436785e-19,1.5822077151797e-17,1.40313990332084e-18,0
T cell CD8+ effector memory_XCELL,2.03329287593188e-19,0,0,0,6.2230461890845e-18,0,9.0686422739242e-18,3.06674397298742e-18,3.41710980225248e-18,0,4.8727622436018e-18,1.01146486386812e-17
Class-switched memory B cell_XCELL,0.0233849887584607,0.022953149711992,0.000259223065791136,0.0171434809590932,1.689946454717e-18,0.0059468125153757,0,9.95669447143249e-20,0,0,0.00148219902689612,0.00717112933760534
Common lymphoid progenitor_XCELL,0.00861529512910977,0.0321369310724773,0.0717632712320512,0.109568685192461,0.0869662309166426,0,0.0538114700858633,0.0493672761140237,0,0.0222091857458745,0.00118457891303701,0
Common myeloid progenitor_XCELL,3.65095868890945e-18,1.81636240101399e-19,4.31714236160605e-18,4.3381285715042e-18,4.64417425932662e-19,0.00105707317711343,2.28668718152891e-18,0,7.5380080058016e-19,1.06664139802187e-18,0,2.12782335281657e-18
Myeloid dendritic cell_XCELL,0.00764448312954596,0.020016512882915,0.0129546169898819,0.0155525212720627,0,8.54538803763275e-19,0,0.00803711866648022,0.00570380776896196,0,0.00208473934840248,0.00238129775426701
Endothelial cell_XCELL,0.0628329261497829,0.0235622594737997,0.00265190559478845,0.0116038455416375,0.0204800130843309,0.010053106874058,0.0155157683078858,3.83950405141453e-18,0.0176980183561771,0.047296907284797,0.00538576335374983,0.0122609958060871
Eosinophil_XCELL,0.00111068698508942,0.00605944330908812,2.57523513754729e-18,0,7.9744461509425e-18,0,0,0,1.29245093116148e-17,4.33300282131514e-18,8.0309075252074e-19,1.78091941056894e-18
Cancer associated fibroblast_XCELL,0.00297773639962227,2.24291788765561e-17,1.02679545235967e-17,0,1.36950997310351e-17,0,0,4.06059856263025e-18,6.34730367238121e-18,0.0476193014971587,0.110159245169318,0.0258313567609411
Granulocyte-monocyte progenitor_XCELL,3.58074949734213e-18,0,1.09410563481765e-17,0,1.08616574256874e-17,2.4570208422162e-18,1.75123478155299e-18,0,0,0,0,0
Hematopoietic stem cell_XCELL,0.0704198455713841,0.0851674884439264,0.112108086714909,0.126969439264902,0.00882783979519633,0,0.131457529402663,0.0237045836728812,0.165134081534433,0.373744674923593,0.0794801007862294,0.105226348491089
Macrophage_XCELL,0.000432609707565924,0.0109607933796757,0.0110635659255701,0.0122736890408903,9.17479779516938e-19,9.39823071293521e-19,0,0.0604320839101772,0.0610819387802125,0.131209310022101,0.0369213447355789,0.0280572939965431
Macrophage M1_XCELL,0.0105417698605457,0.00859488996926938,0.0119253561779422,0.0202614523757297,0,0,0.00269717070232997,0.0858448003033773,0.0433022226961729,0.113068976950051,0.0483376004694172,0.0358054489660117
Macrophage M2_XCELL,0.0114096360241379,0.00349678723820991,0.013267876542933,0.00784342427334736,3.31098725730273e-19,0,0,0.0280935213296567,0.038737059911596,0.0603143923872961,0,5.95498711829525e-18
Mast cell_XCELL,0,0.0104599312516837,5.84906522669074e-20,6.52546334132575e-20,3.01530594528309e-20,4.69712878384984e-19,0,0,0,0,0.00125327714406129,0.000267261730571466
B cell memory_XCELL,0.0313747668111951,0,2.4212291588313e-17,0,5.13898848949638e-19,0.0149687254512229,0,0,0,1.03994886575887e-17,4.93635394132338e-18,1.00895826996128e-17
Monocyte_XCELL,2.80082866277475e-18,5.85770076493649e-19,0,5.00352305640546e-18,0,1.26696331825585e-17,5.01043439641201e-18,0.307622008134362,0.0517976435127807,0.0707138841921298,0.0857440664291356,0.0865891022479614
B cell naive_XCELL,9.83907356870517e-05,3.70789755255083e-19,0,0,0.00139712492861652,0.00673990912702689,5.75705161072034e-19,0,9.56783439881135e-18,1.46610321918021e-17,0,3.91807511039716e-19
Neutrophil_XCELL,0,0,6.20155814326264e-18,4.7220729058724e-18,0,0,3.82231538639291e-18,0,3.49245900299982e-20,2.5173862434168e-20,4.71860588989975e-21,0
NK cell_XCELL,1.5577557241352e-17,4.82013130818455e-18,1.54412435085412e-17,0,3.98284187789439e-18,4.74806053292436e-17,0,0,1.40965239031924e-17,0,0,2.05028395151876e-17
T cell NK_XCELL,0.0302803282437024,1.67125562804595e-18,0.09546247540895,0.0598581599984986,0.178831619732839,0.371804277364096,0.044637475196548,0.164914665683137,0.0765829416030171,0.151731073375093,0.129816967412702,0.166598663139633
Plasmacytoid dendritic cell_XCELL,0,0.00894723076280452,1.11941204924005e-19,4.05232203862889e-18,5.45813086079357e-06,0,0,0.0228528753012487,0.0310819741198662,0.0368647398524861,0.0103772865571346,0.0425433779968249
B cell plasma_XCELL,0.00883931553090079,0.0218961081243524,0.00828913532744924,0.000208684104770553,0.00602520711167522,0.0239448500785877,0.00562470326427294,1.38573395538372e-19,0.0131721554382081,0.00472794598423501,0.000519700133113157,0.00222971452306828
T cell gamma delta_XCELL,4.41740792145829e-19,0.0061571479410339,8.21140867643917e-19,0,0.0124892219981136,3.49649128425237e-17,0.00619214606415154,0,1.85526278333908e-18,3.18217870507236e-18,0,2.81049963279018e-18
T cell CD4+ Th1_XCELL,0.0602943340912805,0.0274640388592493,0.0332242951938904,0.000956842393973341,0.0281480180458651,0.0302870321290457,0.00350671998868189,0.00184847801940582,0,0,1.1244959976194e-18,1.9662994078595e-18
T cell CD4+ Th2_XCELL,0.00324418053094879,0.0109152704322137,0.00232128481684978,0,0,5.37557654914834e-18,0.0351767127157279,7.46560465388572e-18,7.25452136278844e-21,0,0,0
T cell regulatory (Tregs)_XCELL,0.0168466249382356,0.0463716327273245,0,5.44222865952049e-18,0.0420400753242148,0.0118462771550228,0,0,0,0,0.0174182689098331,0.0186761372558727
immune score_XCELL,0.0701219675470546,0.0729668037754529,0.0160121219436347,0.018550806875302,0.00719202014489294,0.0275926617188735,5.88849985520328e-18,0.250727473807346,0.0790555933746368,0.134615462809487,0.0840022851047855,0.0781966371528954
stroma score_XCELL,0.0329053312747026,0.0117811297368998,0.00233590693738728,0.00580192277081876,0.0102400065421655,0.00502655343702901,0.00775788415394292,3.95005130702239e-18,0.0217773791341824,0.0706443479310025,0.0645945462101669,0.0192563429113728
microenvironment score_XCELL,0.103027298821757,0.0847479335123527,0.018348028881022,0.0243527296461207,0.0174320266870584,0.0326192151559025,0.00775788415394293,0.250727473807346,0.100832972508819,0.20525981074049,0.148596831314952,0.0974529800642682
B cell_EPIC,0.016194098628545,0.00893767276170857,0.00035929543145999,0.000360704969317432,0.00243947544971425,0.00502579427673049,0.00746290845556461,0.00513867708853047,0.00208568548634644,0.000264829902396474,0.0023243773738534,0.00149045752588849
Cancer associated fibroblast_EPIC,0.093930123812819,0.0958910037686719,0.209456414462452,0.128730980609011,0.0580172782205691,0.00971213090598843,0.0574076694817032,0.0774433181877537,0.0269501776743887,0.138664805953541,0.118320503395559,0.080319930693414
T cell CD4+_EPIC,0.169418637833219,0.11773413230252,0.157420680120912,0.166417099617318,0.0383240569752717,0.04451348148526,0.133282601107453,0.171424616938558,0.0562813975998333,0.0486751946821183,0.0987190639015104,0.0834157624175932
T cell CD8+_EPIC,0.0225073028840292,0.0310896304123779,0.0240700634687082,0.0212195193870555,0.0421397561393123,0.0583873458628482,0.0214899620625239,0.0300909769901382,0.00519408488223208,1.04699467870861e-06,0.016325133011345,0.0314536593957769
Endothelial cell_EPIC,0.0820216691059086,0.0486011410917512,0.0464519771924953,0.0696483133334463,0.047184086616514,0.0377936642083874,0.0617625313384058,0.0231314710580257,0.0332428258581211,0.0506106327989839,0.0509172619222168,0.0377183260593039
Macrophage_EPIC,0.0123038758413932,0.0148112782804269,0.012438268510487,0.0107579678065405,0.00228805229373464,0.00268920677288903,0.00655299213896244,0.0786266335985223,0.0432393074080025,0.0758660405813566,0.0274557666496357,0.0273914827087665
NK cell_EPIC,4.53166196289687e-10,6.29671193358874e-11,1.75433882857712e-09,3.55351203254703e-08,2.33823213011884e-10,6.26877719802185e-11,2.16151652644654e-09,2.24114107347396e-08,1.51369912863344e-08,2.3724450210011e-08,3.68321375145086e-10,1.55086058111511e-08
uncharacterized cell_EPIC,0.60362429144092,0.682935141319576,0.549803299059147,0.602865378742191,0.809607294071061,0.841878376425209,0.712041333253871,0.614144283727061,0.833006505954084,0.685917425362474,0.685937893377558,0.738210365690651
T cell_MCPCOUNTER,26.4103703571429,9.14504328571429,8.34644785714286,10.8264751428571,15.2612273571429,11.671018,4.65575178571429,5.88355021428571,2.32483478571429,5.03845857142857,8.31966042857143,9.0952455
T cell CD8+_MCPCOUNTER,4.842121,2.812483,3.189761,1.955988,13.238377,20.718216,1.65034,6.46808,0.941079,2.321597,4.237336,6.455649
cytotoxicity score_MCPCOUNTER,2.11141628571429,1.99906928571429,0.712786714285714,0.644434142857143,3.87582628571429,2.74925571428571,1.54528028571429,5.91394014285714,1.10353185714286,1.68057714285714,3.36911928571429,5.782062
NK cell_MCPCOUNTER,1.5134615,1.139410625,0.64064,0.598543375,0.827100375,1.422617125,1.0404785,1.094164125,1.4190745,1.2121195,1.4507525,0.94515775
B cell_MCPCOUNTER,8.900786875,4.978775,0.758883875,0.703577125,2.081805125,5.648070875,3.351503,0.823350125,0.185652375,0.297417125,1.253846875,0.8857365
Monocyte_MCPCOUNTER,10.6696061428571,18.349665,10.3570745714286,7.26735557142857,2.78243885714286,3.535949,10.4269167142857,26.826396,34.2223777142857,48.5818285714286,32.1203472857143,23.8482988571429
Macrophage/Monocyte_MCPCOUNTER,10.6696061428571,18.349665,10.3570745714286,7.26735557142857,2.78243885714286,3.535949,10.4269167142857,26.826396,34.2223777142857,48.5818285714286,32.1203472857143,23.8482988571429
Myeloid dendritic cell_MCPCOUNTER,3.7442558,4.8044046,1.0172256,0.9945214,0.2265388,0.4717126,0.74193,6.6199278,2.2676934,2.3614216,2.5669742,2.1782088
Neutrophil_MCPCOUNTER,9.3072742,15.1947092,23.3318860666667,18.2310299333333,7.2042588,8.37677666666667,12.6842544,13.9985268,18.0392582666667,17.7347334666667,21.1898376,15.3956484666667
Endothelial cell_MCPCOUNTER,11.6049584333333,10.1482944,6.48403166666667,8.19750856666667,8.41150136666667,8.93987566666667,10.6588084,3.71272823333333,9.57368943333333,12.0000902666667,12.1771420333333,9.4811868
Cancer associated fibroblast_MCPCOUNTER,221.342622875,220.93028975,504.760525,325.738896125,206.266726625,89.964617875,167.827303625,157.8021645,69.10663475,348.976587125,276.5792265,218.2644775
